MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
13087883,2013,Sep,21,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,-,"(30397665, 97745751)"
13087884,2013,Sep,21,Fire,AUTO - Auto Fire,B4,AFD,00-3601,2F,Code 3,-,"(30170289, 97784364)"
13087885,2013,Sep,21,Fire,AUTO - Auto Fire,B4,AFD,00-3601,2F,Code 3,-,"(30174231, 97781779)"
13099660,2013,Oct,25,Fire,ELEC - Electrical Fire,B5,AFD,00-0502,3F,Code 3,-,"(30271324, 97691861)"
13099682,2013,Oct,25,Fire,TRASH - Trash Fire,B4,AFD,00-2002,3F,Code 1,-,"(30195092, 9.7823E+7)"
13099753,2013,Oct,25,Fire,AUTO - Auto Fire,B4,AFD,00-1710,2F,Code 3,-,"(30204945, 97774792)"
13099933,2013,Oct,26,Fire,TRASH - Trash Fire,B3,AFD,00-2801,3F,Code 3,-,"(30420189, 97688622)"
13099960,2013,Oct,26,Fire,AUTO - Auto Fire,B3,AFD,00-4102,2F,Code 3,-,"(30340026, 97590155)"
13100031,2013,Oct,26,Fire,DUMP - Dumpster Fire,B4,AFD,00-3703,3F,Code 3,-,"(30232928, 97875823)"
13100034,2013,Oct,26,Fire,AUTO - Auto Fire,B2,AFD,00-3808,2F,Code 3,-,"(30450387, 97785266)"
13100054,2013,Oct,26,Fire,GRASS - Small Grass Fire,B3,AFD,00-2608,3F,Code 3,-,"(30301628, 97651099)"
13100102,2013,Oct,26,Fire,ELEC - Electrical Fire,B5,AFD,00-2401,3F,Code 3,-,"(30189331, 97750348)"
13100165,2013,Oct,27,Fire,TRASH - Trash Fire,B5,AFD,00-3504,3F,Code 3,-,"(30213031, 97689653)"
13100167,2013,Oct,27,Fire,TRASH - Trash Fire,B4,AFD,00-1706,3F,Code 1,-,"(30224701, 97764007)"
13100549,2013,Oct,28,Fire,AUTO - Auto Fire,B3,AFD,00-0804,2F,Code 3,-,"(30352855, 97714861)"
13087962,2013,Sep,21,Fire,ELEC - Electrical Fire,B3,AFD,00-3001,3F,Code 3,-,"(30373399, 97712515)"
13088003,2013,Sep,21,Fire,GRASS - Small Grass Fire,B1,AFD,00-1603,3F,Code 3,-,"(30327941, 97706446)"
13088013,2013,Sep,21,Fire,GRASS - Small Grass Fire,B3,AFD,00-1407,3F,Code 3,-,"(30310157, 97711305)"
13088034,2013,Sep,21,Fire,ELEC - Electrical Fire,B5,AFD,00-0601,3F,Code 3,-,"(30235579, 97745421)"
13088080,2013,Sep,21,Fire,TRASH - Trash Fire,B5,AFD,00-2203,3F,Code 3,-,"(30240419, 97711549)"
13100589,2013,Oct,28,Fire,AUTO - Auto Fire,B3,AFD,00-0803,2F,Code 3,-,"(30360487, 97716478)"
13100697,2013,Oct,28,Fire,TRASH - Trash Fire,B1,AFD,00-1602,3F,Code 1,-,"(30339468, 97717802)"
13100721,2013,Oct,28,Fire,BOXL- Structure Fire,B1,AFD,00-0401,1F,Code 3,-,"(30274149, 97763903)"
13100731,2013,Oct,28,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1705,4F,Code 1,-,"(30238429, 97789697)"
13100774,2013,Oct,29,Fire,AUTO - Auto Fire,B3,AFD,00-2304,2F,Code 3,-,"(30333144, 97686871)"
13100802,2013,Oct,29,Fire,AUTO - Auto Fire,B5,AFD,00-1505,2F,Code 3,-,"(30260275, 97671939)"
