tweet_id,handle,retweet_count,text,mined_at,created_at
1226530192744730625,Donald J. Trump,5253,RT @AndrewHClark: Flashback to when Obama-Biden National Security Advisor Gen. James Jones praised the decision to take out dangerous Irani…,2020-02-12 14:18:37.532319,Sun Feb 09 15:36:00 +0000 2020
1226530044262129665,Donald J. Trump,7427,"RT @RNCResearch: Pete Buttigieg says if he was president, terrorist leader Soleimani would still be alive
https://t.co/xVJmOgtiEV https://t…",2020-02-12 14:18:37.532323,Sun Feb 09 15:35:25 +0000 2020
1226530005796163584,Donald J. Trump,6642,"RT @TimMurtaugh: In tonight’s debate, Democrats agreed that they’d all have permitted Qassem Soleimani to continue to walk the Earth.

Not…",2020-02-12 14:18:37.532325,Sun Feb 09 15:35:15 +0000 2020
1226529838644834307,Donald J. Trump,5328,RT @TrumpWarRoom: Democrats on stage said they would not have allowed the kind of shady foreign business deals that Joe Biden allowed his s…,2020-02-12 14:18:37.532327,Sun Feb 09 15:34:36 +0000 2020
1226529650190561280,Donald J. Trump,5510,"RT @TrumpWarRoom: An American family is grieving the loss of a father &amp; husband.

President Trump eliminated the Iranian terrorist who ripp…",2020-02-12 14:18:37.532329,Sun Feb 09 15:33:51 +0000 2020
1226528994394288128,Donald J. Trump,10892,DeFace the Nation will tell @LindseyGrahamSC that he must start up Judiciary and not stop until the job is done. Cl… https://t.co/NQ38wiWci4,2020-02-12 14:18:37.532331,Sun Feb 09 15:31:14 +0000 2020
1226527816801497093,Donald J. Trump,4190,"RT @KatrinaPierson: Stanage ""The Clouds Are Darkening for the Democratic Party"" https://t.co/VzSzuzeNND",2020-02-12 14:18:37.532333,Sun Feb 09 15:26:33 +0000 2020
1226527634932273152,Donald J. Trump,6800,"RT @AndrewHClark: FACT: The USMCA will support 54,000 jobs in New Hampshire, including 3,500 manufacturing jobs. 

Bernie Sanders still vot…",2020-02-12 14:18:37.532335,Sun Feb 09 15:25:50 +0000 2020
1226527477264211968,Donald J. Trump,4757,"RT @GOP: Unemployment is LOW for ALL Americans because of President Trump:

🔥6% African American unemployment—before POTUS, African America…",2020-02-12 14:18:37.532337,Sun Feb 09 15:25:13 +0000 2020
1226527366224207877,Donald J. Trump,4968,RT @KatrinaPierson: + 1 🇺🇸 #DemDebate,2020-02-12 14:18:37.532339,Sun Feb 09 15:24:46 +0000 2020
1226526973020770304,Donald J. Trump,4386,RT @Surabees: Fact Check: Zero Pinocchios,2020-02-12 14:18:37.532341,Sun Feb 09 15:23:12 +0000 2020
1226526427534823424,Donald J. Trump,7957,"RT @TeamTrump: The National Association of Manufacturers is giving Ivanka Trump an award for supporting manufacturing!

Congrats, @IvankaTr…",2020-02-12 14:18:37.532343,Sun Feb 09 15:21:02 +0000 2020
1226526283561127938,Donald J. Trump,11728,"RT @WhiteHouse: If President @realDonaldTrump had promised an economy this good while he was a candidate, the media would've lost its mind.…",2020-02-12 14:18:37.532346,Sun Feb 09 15:20:28 +0000 2020
1226526237599895554,Donald J. Trump,4877,RT @CLewandowski_: Watch @realDonaldTrump win big in N.H. on Tuesday and see Uncle Joe have a tough night.,2020-02-12 14:18:37.532350,Sun Feb 09 15:20:17 +0000 2020
1226526180125351936,Donald J. Trump,22734,"RT @GOPChairwoman: This video @realDonaldTrump posted is triggering Pelosi and so many Democrats, it’s definitely worth sharing! 
https://t…",2020-02-12 14:18:37.532353,Sun Feb 09 15:20:03 +0000 2020
1226525699542061058,Donald J. Trump,31818,"I grew up in New York City and, over many years, got to watch how GREAT NYC’s “Finest” are. Now, because of weak le… https://t.co/wurixLDmEq",2020-02-12 14:18:37.532355,Sun Feb 09 15:18:09 +0000 2020
1226523864592736256,Donald J. Trump,2968,"RT @Surgeon_General: Enjoyed talking with @SenThomTillis about the intersection of health and national security, as well as how community h…",2020-02-12 14:18:37.532357,Sun Feb 09 15:10:51 +0000 2020
1226516098142568450,Donald J. Trump,15154,"The Dems are crazed, they will do anything. Honesty &amp; truth don’t matter to them. They are badly wounded. Iowa vote… https://t.co/uXe71ItgUH",2020-02-12 14:18:37.532359,Sun Feb 09 14:40:00 +0000 2020
1226515064766726145,Donald J. Trump,26181,"RT @realDonaldTrump: Crazy Nancy Pelosi’s Impeachment Hoax has lifted Republican Congressional Polls (she lost the House once before!), and…",2020-02-12 14:18:37.532361,Sun Feb 09 14:35:53 +0000 2020
1226514964229316609,Donald J. Trump,17923,RT @realDonaldTrump: Thank you Iowa for the RECORD vote we just received in the Primary. The Dems were 25% down (although their votes are a…,2020-02-12 14:18:37.532364,Sun Feb 09 14:35:29 +0000 2020
1226514695579893761,Donald J. Trump,12873,"Leading also in New Hampshire and most states. The Fake News hates to report this, but you will see on November 3rd. https://t.co/IKPmbOyDZ8",2020-02-12 14:18:37.532365,Sun Feb 09 14:34:25 +0000 2020
1226360224145080321,Donald J. Trump,17852,The feeling of many about @MittRomney! https://t.co/GZYxwe4FJ3,2020-02-12 14:18:37.532368,Sun Feb 09 04:20:36 +0000 2020
1226324080170848256,Donald J. Trump,40234,Thank you to everyone for all of the great reviews I have gotten on my State of the Union Speech. It was an immense… https://t.co/7FC4xFMkrq,2020-02-12 14:18:37.532370,Sun Feb 09 01:56:59 +0000 2020
1226314556399591424,Donald J. Trump,14008,"...But, just like the people of West Virginia will no longer look at weak &amp; pathetic Joe Manchin the same (I got th… https://t.co/aR5JpmHIOD",2020-02-12 14:18:37.532373,Sun Feb 09 01:19:08 +0000 2020
